file,speed_level,cost($/hour),cost/lower_bound,prealloc_time(sec),total_time(sec),relative_cost,relative_time,comment
fcma_prob_3_1_1_0.json,2,0.0960,1.0000,0.0825,0.0876,1.0000,0.9701,0.9838,
fcma_prob_3_1_1_0.json,3,0.0960,1.0000,0.0060,0.0101,1.0000,1.0047,1.1302,
fcma_prob_40_5_4_0.json,1,1.1556,1.0000,0.6335,0.6608,1.0000,0.8087,0.8019,
fcma_prob_40_5_4_0.json,2,1.1794,1.0205,0.2700,0.2908,1.0000,0.7019,0.6921,
fcma_prob_40_5_4_0.json,3,1.1794,1.0205,0.0227,0.0415,1.0000,0.2009,0.2468,
fcma_prob_41_5_4_0.json,1,0.2372,1.0000,0.4894,0.5114,1.0000,0.6892,0.6954,
fcma_prob_41_5_4_0.json,2,0.2743,1.1565,0.2490,0.2640,1.0001,0.9091,0.8966,
fcma_prob_41_5_4_0.json,3,0.2743,1.1565,0.0200,0.0336,1.0001,0.6842,0.5477,
fcma_prob_42_5_4_0.json,1,0.7664,1.0000,0.3895,0.4082,1.0000,0.7728,0.7832,
fcma_prob_42_5_4_0.json,2,0.7664,1.0000,0.1737,0.1877,1.0000,0.9820,0.9580,
fcma_prob_42_5_4_0.json,3,0.7664,1.0000,0.0155,0.0305,1.0000,0.9185,0.9096,
fcma_prob_43_5_4_0.json,1,0.2743,1.0000,0.5960,0.6110,1.0001,0.9315,0.9208,
fcma_prob_43_5_4_0.json,2,0.3844,1.4014,0.2581,0.2731,1.0001,0.7425,0.7273,
fcma_prob_43_5_4_0.json,3,0.3844,1.4014,0.0239,0.0391,1.0001,0.5980,0.2013,
fcma_prob_44_5_4_3_2_0.json,1,26.8632,1.0669,1.0810,1.2579,1.0000,0.9143,0.9454,
fcma_prob_44_5_4_3_2_0.json,2,27.2066,1.0805,0.8685,1.0449,1.0000,2.2670,1.9365,
fcma_prob_44_5_4_3_2_0.json,3,27.0146,1.0729,0.0293,0.3684,1.0000,0.9796,3.2574,
fcma_prob_45_5_4_3_2_0.json,1,5.8388,1.0666,0.5727,0.6373,1.0000,1.1146,1.1120,
fcma_prob_45_5_4_3_2_0.json,2,5.8388,1.0666,0.1950,0.2296,1.0000,1.0982,1.0878,
fcma_prob_45_5_4_3_2_0.json,3,5.8388,1.0666,0.0161,0.0370,1.0000,0.8972,0.8892,
fcma_prob_46_5_4_3_8_0.json,1,114.2490,1.0633,0.6453,1.0939,1.0000,1.0599,1.0701,
fcma_prob_46_5_4_3_8_0.json,2,114.4757,1.0654,0.5469,1.8090,1.0000,2.0709,3.3655,
fcma_prob_46_5_4_3_8_0.json,3,114.7773,1.0682,0.0875,0.5437,1.0000,3.1363,2.1986,
fcma_prob_47_5_4_3_8_0.json,1,5.1480,1.2420,0.6600,0.7973,1.0000,1.0006,0.9992,
fcma_prob_47_5_4_3_8_0.json,2,5.2648,1.2702,0.2672,0.3562,1.0000,0.9714,0.9840,
fcma_prob_47_5_4_3_8_0.json,3,5.2648,1.2702,0.0333,0.0683,1.0000,1.5085,1.2155,
fcma_prob_48_15_1_0.json,1,41.9520,1.0000,0.2856,0.3819,1.0000,1.0991,1.0391,
fcma_prob_48_15_1_0.json,2,41.9520,1.0000,0.1406,0.2624,1.0000,1.4811,1.3619,
fcma_prob_48_15_1_0.json,3,41.9520,1.0000,0.0183,0.2045,1.0000,1.1445,1.4023,
fcma_prob_49_15_1_0.json,1,1.9200,1.0000,0.6450,0.8960,1.0000,2.2028,2.6146,
fcma_prob_49_15_1_0.json,2,1.9200,1.0000,0.1964,0.3271,1.0000,2.0210,2.2571,
fcma_prob_49_15_1_0.json,3,1.9200,1.0000,0.0411,0.1605,1.0000,2.5695,2.7021,
fcma_prob_4_1_1_3_2_0.json,1,110.5920,1.0035,0.3063,0.6855,1.0000,1.6996,2.1873,
fcma_prob_4_1_1_3_2_0.json,2,115.2000,1.0453,0.1180,0.4393,1.0000,1.3806,1.9915,
