file,speed_level,cost($/hour),cost/lower_bound,prealloc_time(sec),total_time(sec),relative_cost,relative_time,comment
fcma_prob_48_15_1_0.json,2,41.9520,1.0000,0.0949,0.1927,1.0,1.0,
fcma_prob_48_15_1_0.json,3,41.9520,1.0000,0.0160,0.1458,1.0,1.0,
fcma_prob_49_15_1_0.json,1,1.9200,1.0000,0.2928,0.3427,1.0,1.0,
fcma_prob_49_15_1_0.json,2,1.9200,1.0000,0.0972,0.1449,1.0,1.0,
fcma_prob_49_15_1_0.json,3,1.9200,1.0000,0.0160,0.0594,1.0,1.0,
fcma_prob_4_1_1_3_2_0.json,1,110.5920,1.0035,0.1802,0.3134,1.0,1.0,
fcma_prob_4_1_1_3_2_0.json,2,115.2000,1.0453,0.0855,0.2206,1.0,1.0,
fcma_prob_4_1_1_3_2_0.json,3,115.2000,1.0453,0.0066,0.1102,1.0,1.0,
fcma_prob_50_15_1_0.json,1,34.7520,1.0028,0.2702,0.3960,1.0,1.0,
fcma_prob_50_15_1_0.json,2,34.7520,1.0028,0.0954,0.2074,1.0,1.0,
fcma_prob_50_15_1_0.json,3,34.7520,1.0028,0.0185,0.1129,1.0,1.0,
fcma_prob_51_15_1_0.json,1,3.9360,1.0000,0.2728,0.3296,1.0,1.0,
fcma_prob_51_15_1_0.json,2,3.9360,1.0000,0.0983,0.1612,1.0,1.0,
fcma_prob_51_15_1_0.json,3,3.9360,1.0000,0.0193,0.0830,1.0,1.0,
fcma_prob_52_15_1_3_2_0.json,1,1674.4320,1.0173,0.2877,3.5103,1.0,1.0,
fcma_prob_52_15_1_3_2_0.json,2,1674.4320,1.0173,0.0914,3.8339,1.0,1.0,
fcma_prob_52_15_1_3_2_0.json,3,1674.4320,1.0173,0.0128,3.3536,1.0,1.0,
fcma_prob_53_15_1_3_2_0.json,1,102.9120,1.0171,0.2726,0.5146,1.0,1.0,
fcma_prob_53_15_1_3_2_0.json,2,102.5280,1.0133,0.0909,0.2813,1.0,1.0,
fcma_prob_53_15_1_3_2_0.json,3,102.7200,1.0152,0.0131,0.1971,1.0,1.0,
fcma_prob_54_15_1_3_8_0.json,1,1053.5800,1.1224,0.2577,10.9514,1.0,1.0,
fcma_prob_54_15_1_3_8_0.json,2,1047.7440,1.1162,0.1028,8.4691,1.0,1.0,
fcma_prob_54_15_1_3_8_0.json,3,1047.7440,1.1162,0.0141,8.1398,1.0,1.0,
fcma_prob_55_15_1_3_8_0.json,1,52.8960,1.1384,0.2580,0.6434,1.0,1.0,
fcma_prob_55_15_1_3_8_0.json,2,53.0880,1.1426,0.0844,0.4276,1.0,1.0,
fcma_prob_55_15_1_3_8_0.json,3,53.0880,1.1426,0.0140,0.2735,1.0,1.0,
fcma_prob_56_15_4_0.json,1,4.9149,1.0000,1.0238,1.0962,1.0,1.0,
fcma_prob_56_15_4_0.json,2,5.0102,1.0194,0.3664,0.4646,1.0,1.0,
fcma_prob_56_15_4_0.json,3,5.1014,1.0379,0.0364,0.1042,1.0,1.0,
fcma_prob_57_15_4_0.json,1,0.5582,1.0000,1.0581,1.1039,1.0,1.0,
fcma_prob_57_15_4_0.json,2,0.7596,1.3606,0.3545,0.3974,1.0,1.0,
fcma_prob_57_15_4_0.json,3,0.7596,1.3606,0.0352,0.0752,1.0,1.0,
fcma_prob_58_15_4_0.json,1,10.2593,1.0000,0.9644,1.0483,1.0,1.0,
fcma_prob_58_15_4_0.json,2,10.3553,1.0094,0.3582,0.5194,1.0,1.0,
fcma_prob_58_15_4_0.json,3,10.3553,1.0094,0.0349,0.1027,1.0,1.0,
fcma_prob_59_15_4_0.json,1,0.5046,1.0933,1.0954,1.2276,1.0,1.0,
